country,continent,year,lifeExp,pop,gdpPercap
Nigeria,Africa,2007,46.859,135031164,2013.977305
Norway,Europe,2002,79.05,4535591,44683.97525
Norway,Europe,2007,80.196,4627926,49357.19017
Oman,Asia,2002,74.193,2713462,19774.83687
Oman,Asia,2007,75.64,3204897,22316.19287
Pakistan,Asia,2002,63.61,153403524,2092.712441
Pakistan,Asia,2007,65.483,169270617,2605.94758
Panama,Americas,2002,74.712,2990875,7356.031934
Panama,Americas,2007,75.537,3242173,9809.185636
Paraguay,Americas,2002,70.755,5884491,3783.674243
Paraguay,Americas,2007,71.752,6667147,4172.838464
Peru,Americas,2002,69.906,26769436,5909.020073
Peru,Americas,2007,71.421,28674757,7408.905561
Philippines,Asia,2002,70.303,82995088,2650.921068
Philippines,Asia,2007,71.688,91077287,3190.481016
Poland,Europe,2002,74.67,38625976,12002.23908
Poland,Europe,2007,75.563,38518241,15389.92468
Portugal,Europe,2002,77.29,10433867,19970.90787
Portugal,Europe,2007,78.098,10642836,20509.64777
Puerto Rico,Americas,2002,77.778,3859606,18855.60618
Puerto Rico,Americas,2007,78.746,3942491,19328.70901
Reunion,Africa,2002,75.744,743981,6316.1652
Reunion,Africa,2007,76.442,798094,7670.122558
Romania,Europe,2002,71.322,22404337,7885.360081
Romania,Europe,2007,72.476,22276056,10808.47561
Rwanda,Africa,2002,43.413,7852401,785.6537648
Rwanda,Africa,2007,46.242,8860588,863.0884639
Sao Tome and Principe,Africa,2002,64.337,170372,1353.09239
Sao Tome and Principe,Africa,2007,65.528,199579,1598.435089
Saudi Arabia,Asia,2002,71.626,24501530,19014.54118
Saudi Arabia,Asia,2007,72.777,27601038,21654.83194
Senegal,Africa,2002,61.6,10870037,1519.635262
Senegal,Africa,2007,63.062,12267493,1712.472136
Serbia,Europe,2002,73.213,10111559,7236.075251
Serbia,Europe,2007,74.002,10150265,9786.534714
Sierra Leone,Africa,2002,41.012,5359092,699.489713
Sierra Leone,Africa,2007,42.568,6144562,862.5407561
Singapore,Asia,2002,78.77,4197776,36023.1054
Singapore,Asia,2007,79.972,4553009,47143.17964
Slovak Republic,Europe,2002,73.8,5410052,13638.77837
Slovak Republic,Europe,2007,74.663,5447502,18678.31435
Slovenia,Europe,2002,76.66,2011497,20660.01936
Slovenia,Europe,2007,77.926,2009245,25768.25759
Somalia,Africa,2002,45.936,7753310,882.0818218
Somalia,Africa,2007,48.159,9118773,926.1410683
South Africa,Africa,2002,53.365,44433622,7710.946444
South Africa,Africa,2007,49.339,43997828,9269.657808
Spain,Europe,2002,79.78,40152517,24835.47166
Spain,Europe,2007,80.941,40448191,28821.0637
Sri Lanka,Asia,2002,70.815,19576783,3015.378833
Sri Lanka,Asia,2007,72.396,20378239,3970.095407
Sudan,Africa,2002,56.369,37090298,1993.398314
Sudan,Africa,2007,58.556,42292929,2602.394995
Swaziland,Africa,2002,43.869,1130269,4128.116943
Swaziland,Africa,2007,39.613,1133066,4513.480643
Sweden,Europe,2002,80.04,8954175,29341.63093
Sweden,Europe,2007,80.884,9031088,33859.74835
Switzerland,Europe,2002,80.62,7361757,34480.95771
Switzerland,Europe,2007,81.701,7554661,37506.41907
Syria,Asia,2002,73.053,17155814,4090.925331
Syria,Asia,2007,74.143,19314747,4184.548089
Taiwan,Asia,2002,76.99,22454239,23235.42329
Taiwan,Asia,2007,78.4,23174294,28718.27684
Tanzania,Africa,2002,49.651,34593779,899.0742111
Tanzania,Africa,2007,52.517,38139640,1107.482182
Thailand,Asia,2002,68.564,62806748,5913.187529
Thailand,Asia,2007,70.616,65068149,7458.396327
Togo,Africa,2002,57.561,4977378,886.2205765
Togo,Africa,2007,58.42,5701579,882.9699438
Trinidad and Tobago,Americas,2002,68.976,1101832,11460.60023
Trinidad and Tobago,Americas,2007,69.819,1056608,18008.50924
Tunisia,Africa,2002,73.042,9770575,5722.895655
Tunisia,Africa,2007,73.923,10276158,7092.923025
Turkey,Europe,2002,70.845,67308928,6508.085718
Turkey,Europe,2007,71.777,71158647,8458.276384
Uganda,Africa,2002,47.813,24739869,927.7210018
Uganda,Africa,2007,51.542,29170398,1056.380121
United Kingdom,Europe,2002,78.471,59912431,29478.99919
United Kingdom,Europe,2007,79.425,60776238,33203.26128
United States,Americas,2002,77.31,287675526,39097.09955
United States,Americas,2007,78.242,301139947,42951.65309
Uruguay,Americas,2002,75.307,3363085,7727.002004
Uruguay,Americas,2007,76.384,3447496,10611.46299
Venezuela,Americas,2002,72.766,24287670,8605.047831
Venezuela,Americas,2007,73.747,26084662,11415.80569
Vietnam,Asia,2002,73.017,80908147,1764.456677
Vietnam,Asia,2007,74.249,85262356,2441.576404
West Bank and Gaza,Asia,2002,72.37,3389578,4515.487575
West Bank and Gaza,Asia,2007,73.422,4018332,3025.349798
"Yemen, Rep.",Asia,2002,60.308,18701257,2234.820827
"Yemen, Rep.",Asia,2007,62.698,22211743,2280.769906
Zambia,Africa,2002,39.193,10595811,1071.613938
Zambia,Africa,2007,42.384,11746035,1271.211593
Zimbabwe,Africa,2002,39.989,11926563,672.0386227
Zimbabwe,Africa,2007,43.487,12311143,469.7092981
